Name,global_id,AdmArea,District,Location,lon,lat,Material
"Искусственная дорожная неровность на улице Софьи Ковалевской, у дома 13/2 по улице Долгопрудная",2755376687,Северный административный округ,Дмитровский район,"улица Софьи Ковалевской, у дома 13/2 по улице Долгопрудная",37.536592,55.892432,пластик
"Искусственная дорожная неровность на улице Софьи Ковалевской, у дома 8 по улице Лобненская",2755376688,Северный административный округ,Дмитровский район,"улица Софьи Ковалевской, у дома 8 по улице Лобненская",37.536591,55.891263,пластик
"Искусственная дорожная неровность на Проектируемом проезде № 6176, у дома 8, корпус 1 по Клязьминской улице",2755376689,Северный административный округ,Дмитровский район,"Проектируемый проезд № 6176, у дома 8, корпус 1 по Клязьминской улице",37.522748,55.883188,пластик
"Искусственная дорожная неровность по адресу Ангарская улица, дом 39",2755376690,Северный административный округ,Дмитровский район,"Ангарская улица, дом 39",37.524465,55.878918,пластик
"Искусственная дорожная неровность по адресу Карельский бульвар, дом 22",2755376691,Северный административный округ,Дмитровский район,"Карельский бульвар, дом 22",37.537114,55.896686,пластик
"Искусственная дорожная неровность по адресу Карельский бульвар, дом 10, строение 4 по Лобненской улице",2755376692,Северный административный округ,Дмитровский район,"Карельский бульвар., дом 10, строение 4 по Лобненской улице",37.531403,55.892041,пластик
"Искусственная дорожная неровность по адресу 4-й Вятский переулок, дом 16, корпус 1",2755376693,Северный административный округ,Савёловский район,"4-й Вятский переулок, дом 16, копус 1",37.572295,55.800509,пластик
"Искусственная дорожная неровность по адресу улица Адмирала Макарова, дом 23 корпус 1",2755376694,Северный административный округ,Войковский район,"улица Адмирала Макарова, дом 23, корпус 1",37.492417,55.832279,пластик
"Искусственная дорожная неровность по адресу Новгородская улица, дом 33",2755376695,Северо-Восточный административный округ,район Лианозово,"Новгородская улица, дом 33",37.57766,55.904135,пластик
"Искусственная дорожная неровность по адресу улице Краснолиманская, пересечение с улицей Ливенская (1)",2755376696,Юго-Западный административный округ,район Южное Бутово,"Изюмская улица, дом 55, корпус 1",37.566546,55.543114,пластик
"Искусственная дорожная неровность по адресу улица Мусы Джалиля, дом 16",2755376698,Южный административный округ,район Зябликово,"улица Мусы Джалиля, дом 16",37.742664,55.624193,пластик
"Искусственная дорожная неровность по адресу улица Маршала Захарова, дом 24",2755376699,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 23",37.697342,55.620144,пластик
"Искусственная дорожная неровность по адресу Россошанский проезд, дом 8, корпус 1 и 2",2755376700,Южный административный округ,район Чертаново Южное,"Россошанский проезд, дом 8, корпус 1 и 2",37.60322,55.597021,асфальт
"Искусственная дорожная неровность по адресу Битцевский проезд, дом 3, корпус Б",2755376701,Южный административный округ,район Чертаново Северное,"Битцевский проезд, дом 3, корпус Б",37.596341,55.640629,пластик
"Искусственная дорожная неровность по адресу 3-й Павелецкий проезд, дом 4",2755376702,Южный административный округ,Даниловский район,"3-й Павелецкий проезд, дом 4",37.645998,55.712314,пластик
"Искусственная дорожная неровность по адресу Автозаводская улица, дом 5",2755376703,Южный административный округ,Даниловский район,"Автозаводская улица, дом 5",37.661005,55.708422,пластик
