global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2795042318,"Станция №1641, 150 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Нагорный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 9, корпус 1, строение 5",37.616356,55.673024
2795042319,"Станция №1670, 150 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Левобережный,"город Москва, Фестивальная улица, дом 41, корпус 1",37.483997,55.857911
2795042322,"Станция №1671, 150 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Левобережный,"город Москва, Фестивальная улица, дом 41, корпус 1",37.483904,55.857884
2795042323,"Станция №337, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Волгоградский проспект, дом 32, корпус 15",37.697378,55.7201
2795042325,"Станция №338, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Волгоградский проспект, дом 32, корпус 15",37.697015,55.720001
2795042326,"Станция №98, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,район Марьина Роща,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Двинцев, дом 12, корпус 1",37.59871,55.79668
2795042328,"Станция №270, 22 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Донской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Загородное шоссе, дом 18А, строение 14",37.59851,55.694665
2795042329,"Станция №796, 50 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 36",37.57586,55.753866
2795880866,"Станция №42, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 2-й Обыденский переулок, дом 3, строение 1",37.6048344,55.7416436
2795880867,"Станция №50, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Студенческая улица, дом 42",37.5388182,55.738679
