ID,global_id,Name,ShortName,AdmArea,District,Address,Owner,TestDate,lon,lat
291,930770911,"Автомобильная заправочная станция «ПНК Магистраль» поселение Вороновское, деревня Ясенки, дом 1","АЗC «ПНК Магистраль» поселение Вороновское, деревня Ясенки, дом 1",Троицкий административный округ,поселение Вороновское,"поселение Вороновское, деревня Ясенки, дом 1",ООО «ПНК Магистраль»,17.05.2019,37.424867271,55.389983262
292,930770957,"Автомобильная заправочная станция «Лукойл-ЦНП» на Дмитровском шоссе, дом 167 А","АЗC «Лукойл-ЦНП» на Дмитровском шоссе, дом 167 А",Северо-Восточный административный округ,район Северный,"Дмитровское шоссе, дом 167 А",ООО «Лукойл-ЦНП»,24.05.2019,37.542665086,55.91762103
293,930770982,Автомобильная заправочная станция «АВИС-АМ» на 32-м километре Московской Кольцевой Автодороги,"АPC «АВИС-АМ» на 32-м километре Московской Кольцевой Автодороги, владение 7",Южный административный округ,район Чертаново Южное,"32-й километр Московской Кольцевой Автодороги, владение 7",ООО «АВИС-АМ»,07.06.2019,37.604636411,55.57499962
294,1011670329,"Автомобильная заправочная станция «РН-Москва» на Аминьевском шоссе, владение 4Б","АPC «РН-Москва» на Аминьевском шоссе, владение 4Б",Западный административный округ,район Очаково-Матвеевское,"Аминьевское шоссе, владение 4Б",АО «РН-Москва»,06.08.2019,37.461857342,55.698897368
295,1011670330,"Автомобильная заправочная станция «Нафта Инжиниринг» в Краснокурсантском 1-м проезде, владение 2, строение 1","АPC «Нафта Инжиниринг» в Краснокурсантском 1-м проезде, владение 2, строение 1",Юго-Восточный административный округ,район Лефортово,"Краснокурсантский 1-й проезд, владение 2, строение 1",ООО «Нафта Инжиниринг»,30.08.2019,37.692363639,55.756906847
296,1026789491,"Автомобильная заправочная станция «Фортекс» на Болотниковской улице, владение 36В","АЗС «Фортекс» на Болотниковской улице, владение 36В",Юго-Западный административный округ,район Зюзино,"Болотниковская улица, владение 36В",ООО «Фортекс»,25.10.2019,37.591483409,55.659685497
297,1034718965,"Автомобильная заправочная станция «ИП Филатов В.А.» в пос. Ерино на улице Высокая, дом 100","АЗС «ИП Филатов В.А.» в пос. Ерино на улице Высокая, дом 100",Новомосковский административный округ,поселение Рязановское,"пос. Ерино на улице Высокая, дом 100",ИП Филатов В.А.,24.01.2020,37.527961969,55.449974139
298,1034718966,Автомобильная заправочная станция ООО «АЗС Энерджи» на 41-м километре Калужского шоссе,АЗС ООО «АЗС Энерджи» на 41-м километре Калужского шоссе,Троицкий административный округ,поселение Троицк,41-й километр Калужского шоссе,ООО «АЗС Энерджи»,28.01.2020,37.299608579,55.466553258
299,1034718968,Автомобильная заправочная станция ООО «ТД Нефтьмагистраль»в пос. Щапово на Садовом б-ре д. 5А стр. 1,АЗС ООО «ТД Нефтьмагистраль»в пос. Щапово на Садовом б-ре д. 5А стр. 1,Троицкий административный округ,поселение Щаповское,пос. Щапово на Садовом бульваре дом 5А строение 1,ООО «ТД Нефтьмагистраль»,07.02.2020,37.403155499,55.422413206
300,1034718969,"Автомобильная заправочная станция ООО «ВЭСКА» на Краснополянской ул., вл. 1","АЗС ООО «ВЭСКА» на Краснополянской ул., вл. 1",Северный административный округ,Дмитровский район,"Краснополянская ул., вл. 1",ООО «ВЭСКА»,14.02.2020,37.48409195,55.884496777
